countrycode,period,group,emp,emp_ref,index,n
PER,2025Q2,3.0,2392945.7836890486,2290287.2144179,104.48234477426624,
PER,2025Q2,4.0,4775576.548347115,4465536.771499619,106.94294533249085,
PER,2025Q2,5.0,2112363.447068685,2084080.25273037,101.35710677653901,
PER,2025Q3,1.0,3549534.39406011,3829693.1779634524,92.68456320429502,
PER,2025Q3,2.0,3609223.355622627,3677087.3699730868,98.15440843465852,
PER,2025Q3,3.0,2364448.2959106774,2290287.2144179,103.23806905203486,
PER,2025Q3,4.0,4830518.6831291,4465536.771499619,108.17330435971111,
PER,2025Q3,5.0,2288735.472601195,2084080.25273037,109.81992989966218,
PER,2025Q4,1.0,3572056.894909,3829693.1779634524,93.27266516970798,
PER,2025Q4,2.0,3615088.495837001,3677087.3699730868,98.31391348918262,
PER,2025Q4,3.0,2443853.839474,2290287.2144179,106.70512519518783,
PER,2025Q4,4.0,4973461.100345999,4465536.771499619,111.3743174636497,
PER,2025Q4,5.0,2334438.592195,2084080.25273037,112.0128934160109,
PER,2026Q1,1.0,3677336.861923054,3829693.1779634524,96.02170960020828,
PER,2026Q1,2.0,3633205.689592947,3677087.3699730868,98.80661850086904,
PER,2026Q1,3.0,2354189.4840360507,2290287.2144179,102.79014218024145,
PER,2026Q1,4.0,4813780.974495071,4465536.771499619,107.79848472456996,
PER,2026Q1,5.0,2176717.7272998905,2084080.25273037,104.44500515026499,
PER,2026Q2,1.0,3533513.921269074,3829693.1779634524,92.26624058557401,
PER,2026Q2,2.0,3576409.0383937284,3677087.3699730868,97.26200871914297,
PER,2026Q2,3.0,2398464.720644499,2290287.2144179,104.72331616513405,
PER,2026Q2,4.0,5029233.344615914,4465536.771499619,112.62326573400927,
PER,2026Q2,5.0,2384991.233747332,2084080.25273037,114.43855056074429,
PHL,2021Q1,1.0,9575440.527000006,11107463.528050002,86.20726507738573,
PHL,2021Q1,2.0,9171343.663100002,9566699.108399995,95.86737869749815,
PHL,2021Q1,3.0,6910842.509300003,8035652.574774999,86.00225613280088,
PHL,2021Q1,4.0,3896947.3464,3848742.3157,101.25248787125496,
PHL,2021Q1,5.0,11604472.036600005,13190198.120925006,87.97799646534956,
PHL,2021Q2,1.0,10556515.831600001,11107463.528050002,95.03984239913392,
